other,BPOINT_5149,11252
other,CCTXN914850,9211
other,CCTXN1504643,141
other,BPOINT_46715,13311
other,BPOINT_11986,2253
other,BPOINT_3753,3686
other,CCTXN185837,2964
other,CCTXN95150,3688
other,BPOINT_41863,14536
other,CCTXN1165232,881
other,BPOINT_70,5755
other,BPOINT_50671,883
other,BPOINT_1037,12582
other,BPOINT_4321,874
other,BPOINT_4622,3814
other,CCTXN802890,13317
other,BPOINT_1176,150
other,BPOINT_11654,6449
other,BPOINT_4733,5878
other,CCTXN1617769,5649
other,BPOINT_1484,7152
other,BPOINT_37392,14064
other,CCTXN1069014,14048
product,A08_32_201606,8520
other,BPOINT_2203,11272
other,BPOINT_2906,5765
other,BPOINT_41867,9858
other,CCTXN828991,1338
other,BPOINT_9113,6455
other,MMO_FAV_S_1109,7170
other,BPOINT_7089,14764
other,CCTXN718346,2313
other,BPOINT_37859,6103
other,BPOINT_42306,4983
other,BPOINT_51171,11948
other,BPOINT_12240,12023
other,BPOINT_65887,8530
other,BPOINT_7056,9523
other,CCTXN1614793,1624
other,CCTXN85104,7837
other,MMO_FAV_S_362,11952
other,BPOINT_35417,8532
other,BPOINT_35635,11284
other,BPOINT_2501,7839
other,CCTXN978521,12601
other,CCTXN1665616,12602
other,BPOINT_13043,7845
other,MMO_FAV_S_166,2319
other,CCTXN287839,13339
other,CCTXN1320793,14068
other,BPOINT_13034,9244
other,CCTXN629674,175
other,BPOINT_10424,9085
other,BPOINT_35699,10121
other,BPOINT_8682,7849
other,CCTXN516350,7173
other,CCTXN708992,10720
other,CCTXN1055125,2872
other,BPOINT_42048,11289
other,MMO_FAV_S_1304,3711
other,MMO_FAV_S_1206,306
other,CCTXN868320,2328
other,BPOINT_35531,2420
other,BPOINT_6147,3718
other,CCTXN212093,10599
other,CCTXN222967,9933
other,CCTXN382444,13351
other,BPOINT_3249,11972
other,CCTXN1622726,3724
other,BPOINT_11181,9937
other,BPOINT_3922,6473
other,CCTXN1548799,1643
other,BPOINT_1597,3730
other,BPOINT_3579,9214
other,MMO_FAV_S_32,10251
other,BPOINT_11635,7196
other,BPOINT_4137,189
other,BPOINT_41729,6477
other,BPOINT_34850,3037
other,BPOINT_11628,8987
other,BPOINT_37360,7868
other,CCTXN1618753,8560
other,BPOINT_3920,14848
other,BPOINT_19737,13210
other,BPOINT_19719,5354
other,CCTXN484779,3739
other,CCTXN1201752,922
other,BPOINT_1873,4451
other,BPOINT_2352,2352
other,CCTXN1624738,5808
other,CTI_781,2353
other,BPOINT_1378,10117
other,CCTXN1704437,5150
other,CCTXN1619162,10617
other,BPOINT_6999,11405
other,MMO_FAV_S_599,997
other,CCTXN1108431,936
other,CCTXN1325376,9953
other,BPOINT_6261,12633
other,BPOINT_8093,5157
other,CCTXN1447959,7211
other,MMO_FAV_S_421,13603
other,BPOINT_10922,12952
other,BPOINT_10890,8575
product,A08_17_201606,6499
other,MMO_FAV_S_717,2369
other,CCTXN768794,15011
other,BPOINT_34706,209
other,BPOINT_6244,12034
other,BPOINT_33765,1669
other,BPOINT_10541,3756
other,CCTXN516903,9963
other,BPOINT_46708,14782
other,BPOINT_4444,13584
other,BPOINT_41870,10097
other,CCTXN1323489,14830
other,BPOINT_73769,1675
other,BPOINT_2357,14205
other,BPOINT_1795,6516
other,CCTXN50147,13091
other,BPOINT_33726,13405
other,BPOINT_46684,12656
other,BPOINT_11667,14792
other,BPOINT_1314,8588
other,CCTXN87197,7904
other,BPOINT_4760,7223
other,BPOINT_11215,3070
other,CCTXN21600,5844
