,0
D2395323A170398E4F,85480
D14844DA7155F013F8,11556
A25CCEE166F22524DB,23196
A1EA1A07A56EF72AF1,108203
F2A1C6EE9C0F8CB5FA,11557
B198BB53816487A86F,52203
P2A1C6038544A2DB18,108205
F22CA696036E668132,5759
A242BC0F3F28C15D1A,11559
T2D0693BAD784EA047,51363
A2449D0FCD116AFAC3,53406
G20C2AFE760C65E0F8,102711
A1821BBB049A2ABC73,109058
R2376D4CC34B04B3DA,112736
E1E0581A0705199467,175
H1480B73F0F417A5CF,102713
S2BC232F9B8E2D5A1D,45591
R2078908F111E4C50C,123264
F29215FC1A81A1E98C,34329
F25F04795E87ADEC37,89614
H14DFFE6E1EE2F0C4C,176
B1CF4C9145985581FE,62777
H2415D10C69B181003,94653
L2975CD6A8A21E19E7,34332
E2BA34FBDD381AC742,23203
A1BFD66C4546EEC50A,62778
P12026FA72A82A6FD8,119645
T2A029B6B3017E98B7,34333
P171907B0798F9253A,97019
M165F9C6708588779F,56967
B21D69869BEC0A734D,34335
F186FDDF06BCA713ED,28770
F166FE3EEE2F678467,23206
J25BA656B2F0559297,3795
D2CF7DAFF0E08A8CD3,67879
N2BFE6AC043D7FCEB6,17389
F23DF6E58AB1B5CACC,185
A2A484F01F03D7B3AB,17390
L2F4FBBC8B80BE7F69,34338
F27AC6416B9171BA67,113942
R152BF729ED49EAE04,28772
H131883A3C03D143F0,45598
D257AF324931F8B236,186
M2935CF5877E1C870E,111889
N18E728D5296920013,187
A1DAF7B071116E5137,17393
J299DB749447B923E3,52301
F1507180D4047337EA,57122
L2CAE4714CBE4456B9,39987
F2FD0890B2DB37DBF1,113946
N2197814031928F49C,100368
R2FDB0CDDFA8089E07,119654
N24933D90DFE37E32F,51379
F297E71A0EBE8B1826,39988
J1633ED638FD8C2C87,79903
D13A893FE16CD917ED,34185
S2840509E060F5D0FE,68486
H15BEC485830A067C2,28777
J175B1392C99E1B365,17397
N2EDD6464B3BEBE81B,85656
Q21A8F7BEA53B025A6,46525
Q2391EC030FE1AC0BF,62787
F1957D5E22243E5F0E,45606
A199D2E28682B4DCB1,74174
P2441E0A7FD7B97713,11574
E2F35DFE9B72AD7328,97035
U2FD64BFE87BD3F510,79910
L281475254A39AE47B,34350
K28CE9B594A5A22597,47352
J2B527B6CBBC5CCFD2,62790
G2F17C94827825A77D,23068
H2E978DE36822E4C48,51385
F1EB2E9CD8FBCA7FA3,3798
N2318A5AA00A563560,102570
P24F44FE7AFA2D62D7,17407
H260729B977276409C,11580
P2292D107572A6164F,43911
F1C814529CCDA33FB8,34353
K2902806E3070C3497,17408
W24EC9B377B7D76252,115666
N10F30B4F63587E0ED,5786
S1E148C9DAC5A1555F,91423
A2E9DD30031651351A,68496
M19213D0C8C6D62EDB,34354
T20F0BBB33C60CD2B7,40935
L20AA3F8708EBF1059,198
T2C25BF59A7CCC867D,23222
S24170B52938B4F702,28787
A26804E08E1B7D45AF,120613
A1D6DF232BDB535D70,40001
P249EF059A25D3035E,113961
V2705AE2B5177735EF,23223
N136417D6983880C3C,85670
R2193A8B42E9F5DCA1,2180
B2438AD7CD1B1B7244,85671
A2C039ACB6B1D0B903,87419
T12C8ECDE48AC91B16,57140
A2AD0A5E4A35B951FA,57141
L1FC8C63308F46F42E,23226
A1BB2A1EF9C15713B3,85673
L2664FA2D53B66AAC3,74027
R2206359B7D553C6BB,23228
L122CEB6199EB8229D,23229
C2418BE4431C805FD8,9440
L2E9BF53B6C26E4FB2,205
G2C35AC8A1EDBEB849,74189
B1378C10BC699EF832,23231
K2A487DA0EF8C27395,79925
P2086D37306721AA1F,117536
