DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
MMO_FAV_P,H2AEE4E0D70ED447DF,1000元即享券乙份,MMO_FAV_P_A02_80_201608,1,0
MMO_FAV_P,M274BF9AB27836BAD1,台灣高鐵升等商務車廂,MMO_FAV_P_A03_12_201606,1,0
MMO_FAV_P,Q1FE0F689D6815C847,康是美,MMO_FAV_P_A08_41_201606,1,0
MMO_FAV_P,T2642532395D0DFF36,西堤牛排$570套餐乙份,MMO_FAV_P_A02_51_201606,1,0
MMO_FAV_P,H29D68D4F81C58E9C5,培根雞蛋堡+冰紅茶(L),MMO_FAV_P_A02_13_201606,1,0
MMO_FAV_P,P2C8C1B86BC6A3F79E,太平洋崇光百貨,MMO_FAV_P_A08_2_201606,1,0
MMO_FAV_P,F211E00432192A7AA7,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,E2DB11548E7BDAC619,東南旅行社,MMO_FAV_P_A08_78_201606,1,0
MMO_FAV_P,A221548610CA91E056,日本湖池屋卡辣姆久洋芋片(袋),MMO_FAV_P_A02_45_201610,1,0
MMO_FAV_P,H2A232942964FBF90E,西堤牛排$570套餐乙份,MMO_FAV_P_A02_51_201606,1,0
MMO_FAV_P,D10BF1D64354F813B6,CITYCAFE熱巧克力,MMO_FAV_P_A12_32_201606,1,0
MMO_FAV_P,K13040C38AA9950004,總匯吉士火烤雞腿堡豪華套餐,MMO_FAV_P_A02_59_201608,1,0
MMO_FAV_P,G10540F29B54505CC2,6塊炸雞桶+2杯可樂(小)乙份,MMO_FAV_P_A02_47_201606,1,0
MMO_FAV_P,S2E009823970BB9191,現金抵用券30元,MMO_FAV_P_A12_36_201606,1,0
MMO_FAV_P,05B94742F1C3812157,1000元即享券乙份,MMO_FAV_P_A02_80_201608,1,0
MMO_FAV_P,F229C43162DDFE6B09,中華航空里程,MMO_FAV_P_A03_2_201606,1,0
MMO_FAV_P,N1A1B0DCE1E65816F9,現金抵用券200元,MMO_FAV_P_A12_38_201606,1,0
MMO_FAV_P,S21DA4BB76B48A9FA0,CITYCAFE熱巧克力,MMO_FAV_P_A12_32_201606,1,0
MMO_FAV_P,F28D00E08743610DA9,中華電信,MMO_FAV_P_A06_1_201606,1,0
MMO_FAV_P,A1388136561614FB62,凍頂烏龍茶(大杯),MMO_FAV_P_A02_13_201608,1,0
MMO_FAV_P,B2B2D80B50458A8280,新光三越商品券,MMO_FAV_P_A07_1_201606,1,0
MMO_FAV_P,H2505488F911B6B0AB,CITYCAFE熱巧克力,MMO_FAV_P_A12_32_201606,1,0
MMO_FAV_P,F2DD4797644C7807DE,下午茶鬆餅組 (中杯本日咖啡+鬆餅),MMO_FAV_P_A02_52_201608,1,0
MMO_FAV_P,H29FBD21B1110B0C8A,神腦國際,MMO_FAV_P_A08_57_201606,1,0
MMO_FAV_P,L291101458610A6365,聚 北海道昆布鍋套餐乙份,MMO_FAV_P_A02_50_201606,1,0
